productId,name,description
101,Wireless Mouse,Ergonomic wireless mouse with adjustable DPI.
102,Mechanical Keyboard,RGB mechanical keyboard with customizable keys.
103,Laptop Stand,Adjustable aluminum laptop stand for better ergonomics.
201,USB-C Charger,Fast charging USB-C adapter with multiple ports.
301,Monitor Arm,Adjustable monitor arm for dual screens.
302,Webcam,1080p webcam with built-in microphone.
303,Gaming Headset,Comfortable gaming headset with surround sound.
501,Portable SSD,High-speed portable SSD with 1TB capacity.
601,Smart Speaker,Voice-activated smart speaker with Bluetooth connectivity.
602,Noise-Cancelling Headphones,Wireless headphones with active noise cancellation.
603,Fitness Tracker,Waterproof fitness tracker with heart rate monitor.
604,Smartwatch,Touchscreen smartwatch with GPS and health tracking.
605,Power Bank,"10,000mAh portable power bank with fast charging."
606,Bluetooth Speaker,Compact Bluetooth speaker with deep bass.
607,External Hard Drive,Portable 2TB external hard drive for backup storage.
608,Digital Camera,High-resolution digital camera with optical zoom.
609,Streaming Device,4K streaming device with voice control.
610,Gaming Controller,Wireless gaming controller compatible with multiple platforms.
611,VR Headset,Virtual reality headset with immersive 3D experience.
612,Drone,Compact drone with HD camera and GPS.
613,Smart Doorbell,Wi-Fi enabled doorbell with video recording.
614,Robot Vacuum,Self-charging robot vacuum cleaner with smart mapping.
615,Electric Toothbrush,Rechargeable electric toothbrush with multiple modes.
616,Wireless Charger,Fast wireless charger with universal compatibility.
617,Action Camera,Waterproof action camera with 4K recording.
618,Gaming Laptop,High-performance gaming laptop with dedicated GPU.
619,E-Reader,Lightweight e-reader with adjustable backlight.
620,Smart Light Bulb,Color-changing smart bulb with app control.
621,Portable Projector,Mini projector with HDMI and wireless support.
622,USB Hub,Multi-port USB hub with power delivery.
623,Noise Meter,Digital noise meter for sound level monitoring.
624,Dash Cam,Car dash cam with loop recording and night vision.
625,Laptop Cooling Pad,Adjustable cooling pad with USB-powered fans.
626,3D Printer,Desktop 3D printer with high precision.
627,Wireless Earbuds,Compact earbuds with noise isolation and touch controls.
628,Streaming Microphone,Professional streaming microphone with pop filter.
629,HDMI Switch,4K HDMI switch with remote control.
630,Electric Kettle,Smart electric kettle with temperature control.
631,Photo Printer,Portable photo printer with wireless connectivity.
632,Laptop Backpack,Waterproof backpack with multiple compartments.
633,Smart Thermostat,Programmable thermostat with app integration.
634,Surge Protector,Power strip with surge protection and USB ports.
635,Graphics Tablet,Drawing tablet with pen pressure sensitivity.
636,Portable Air Purifier,Compact air purifier with HEPA filter.
637,Network Router,Wi-Fi 6 router with high-speed connectivity.
638,Smart Plug,Wi-Fi enabled plug with voice control.
639,Car Charger,Dual-port car charger with fast charging support.
640,USB Flash Drive,128GB USB flash drive with fast transfer speeds.
